rating,rating_count,cost,name_encoded
4.1,10,200,1581
4.4,50,200,47399
3.8,100,100,112598
3.7,20,250,90268
4.1,10,250,34924
3.6,20,200,85528
4.0,100,150,112345
4.1,10,100,89470
4.2,20,100,41034
4.1,10,200,112747
4.1,10,300,17005
4.2,20,100,87001
4.1,10,200,94097
4.1,10,100,47910
4.4,50,300,12564
4.1,10,300,97667
4.0,20,200,79744
4.1,10,200,112693
4.1,10,100,89471
4.7,20,300,31304
4.1,10,700,71480
4.1,10,650,71481
4.2,20,200,80325
4.1,10,300,48286
4.1,10,300,73208
4.1,10,200,75013
4.1,10,300,107307
4.1,10,150,33680
4.1,10,300,64978
4.4,20,400,28586
4.1,10,200,47945
4.1,10,350,26900
4.1,10,300,31584
4.1,10,300,72496
4.1,10,200,12622
4.1,10,300,81852
4.1,10,250,53354
4.1,10,150,72353
4.1,100,150,65495
4.1,10,200,70400
4.1,10,150,35316
4.1,10,200,62410
4.1,10,250,103095
4.1,10,200,111146
4.1,10,200,18765
4.1,10,60,33553
4.1,10,300,34283
4.1,10,300,25068
4.1,10,300,46728
4.1,10,200,33626
4.1,10,200,100634
4.1,10,400,58399
4.1,10,250,37119
4.1,10,150,60700
4.1,10,200,67975
4.1,10,100,25747
4.1,10,200,97148
4.1,10,200,84914
4.0,20,250,84318
4.1,10,100,91166
4.0,20,200,13092
4.1,10,200,82592
3.5,20,100,87817
3.5,100,400,44844
3.6,20,100,8110
3.5,100,150,41594
3.1,20,150,22266
3.4,50,400,27789
3.5,10,250,45849
3.5,50,200,42987
3.7,100,300,43545
3.4,50,400,32741
3.5,10,300,94324
3.5,10,150,18165
3.5,10,100,819
4.0,20,250,62084
3.5,10,200,8156
3.5,10,100,31533
3.6,50,250,55622
3.5,10,110,87328
3.5,10,100,32970
3.3,20,400,92415
3.5,10,250,22267
3.1,20,250,79209
3.7,50,250,97779
3.6,20,100,49538
3.5,10,150,76374
4.8,20,300,53458
4.1,500,200,54237
3.3,100,300,21221
3.7,50,300,18497
3.6,100,150,4182
3.9,10,100,98003
3.3,100,200,45500
3.9,10,300,60434
3.9,10,200,22285
3.8,100,300,102157
3.9,10,200,49331
3.9,10,200,59320
3.9,10,150,109761
4.0,50,200,65185
4.4,50,399,66316
3.9,10,200,8532
4.0,500,400,49116
3.9,10,250,54134
3.5,100,200,15271
3.9,500,249,28808
3.9,10,150,81369
3.9,10,250,79018
3.3,100,350,73725
3.9,10,100,16849
3.9,500,399,48220
3.7,500,150,52599
3.8,50,400,109992
4.4,20,400,97632
2.7,20,500,50825
3.9,10,200,97789
4.3,100,99,67077
3.8,50,200,62840
4.4,500,120,65449
4.0,100,300,39778
3.9,10,100,8626
3.5,20,250,23108
4.1,500,200,50690
4.1,50,400,28586
4.1,100,499,63346
4.1,100,150,10921
4.3,100,400,26569
3.9,10,400,50226
2.9,20,499,13529
3.9,100,200,55381
4.3,100,299,101728
4.5,100,120,36719
4.0,1000,399,7744
3.8,100,300,13060
3.5,100,200,51115
3.9,10,200,86779
3.3,100,350,93105
3.9,10,200,26870
3.6,20,200,108606
4.0,100,500,3409
2.7,20,249,102117
4.3,500,299,6056
3.8,50,150,52515
3.9,10,200,59675
2.5,20,150,99228
3.3,20,199,9095
4.2,100,399,61964
4.2,100,200,4839
3.7,20,200,77874
3.2,100,399,101984
4.3,50,100,60461
4.2,50,399,22501
3.6,20,300,25302
3.3,20,200,78404
4.1,50,200,67076
4.3,20,199,31674
3.9,10,100,109676
3.8,20,50,86918
4.1,100,200,15204
4.2,20,200,6561
3.7,20,400,100041
4.2,100,399,54965
3.9,10,200,33238
4.3,20,200,66945
4.1,100,299,96850
3.8,50,300,35004
3.9,10,150,54914
3.5,20,100,23144
4.0,50,300,69290
4.0,20,400,41417
4.4,20,199,8542
3.9,10,250,58374
3.9,10,200,25339
3.9,10,200,75052
3.8,50,250,14107
4.3,20,400,20386
2.4,50,200,9452
3.9,10,300,51242
3.8,50,200,73841
4.3,20,499,107156
3.9,10,200,28833
4.3,20,299,12603
3.9,10,250,19878
3.9,10,300,76575
4.5,20,400,30287
3.9,10,300,95228
3.9,10,200,57984
4.5,20,299,98871
3.9,10,100,36511
3.9,10,250,57176
4.0,20,499,53427
3.9,10,200,22472
4.1,20,300,14487
3.9,10,200,46460
4.0,20,399,91021
3.9,10,180,1442
4.6,50,250,11764
3.9,10,200,14162
3.9,10,100,8612
3.7,50,199,84951
3.9,10,100,71722
3.9,10,100,31675
3.9,10,299,100613
3.9,10,300,24462
3.9,10,200,27317
3.9,10,250,81135
3.9,10,250,91634
3.5,20,200,55275
3.9,10,200,59728
3.9,10,299,91007
3.9,10,200,18908
3.3,20,499,22958
3.9,10,200,62808
3.9,10,300,2185
3.9,10,199,98022
3.9,10,200,94713
3.9,10,200,98206
3.6,100,299,67688
3.5,20,200,12814
3.8,20,100,4166
4.3,20,199,22724
3.9,20,200,15221
3.9,10,200,77971
3.9,500,299,21458
3.9,10,200,15218
3.4,20,200,1584
4.5,100,200,61007
3.9,10,200,15238
3.9,10,100,58338
3.7,100,200,74138
3.9,10,200,84475
4.1,100,100,36473
4.1,50,150,6833
3.9,10,150,7551
4.0,50,349,10551
3.7,1000,399,48226
3.9,10,1000,62178
4.4,50,200,99355
3.9,10,100,25282
3.7,100,200,27045
3.9,10,250,89914
3.9,500,300,101251
3.9,10,400,31269
3.9,10,599,101431
4.1,100,150,60453
4.0,100,200,28781
3.9,10,200,23861
3.1,100,299,21782
4.3,100,200,66946
3.9,100,300,54925
4.2,100,200,81289
4.1,100,350,9378
3.9,100,200,19863
3.8,50,250,65231
3.9,10,150,73565
3.9,10,150,26873
4.1,500,600,13439
4.1,100,200,5611
3.9,10,200,20523
3.9,10,250,67014
3.5,100,299,54432
3.9,100,499,103506
4.5,100,200,99265
4.0,100,400,84870
3.7,50,300,15219
3.7,500,200,105996
4.1,20,299,81133
4.2,100,200,90098
3.0,100,200,72210
3.5,20,200,89416
3.9,10,399,80435
3.7,20,200,99380
3.9,10,200,16366
4.1,50,350,9469
3.9,50,150,104377
3.4,500,200,72211
4.3,100,200,47296
4.0,20,200,15113
3.9,10,300,1397
3.9,10,200,95902
3.9,10,399,15114
3.9,10,200,51019
3.9,10,200,17996
3.9,10,199,87955
3.7,20,499,100433
4.1,50,400,46092
3.5,100,200,57135
3.8,20,300,51260
4.2,20,299,64761
3.9,10,200,14944
3.9,10,200,70348
3.9,10,100,71349
3.9,10,800,104888
3.9,10,350,105748
3.9,10,450,38032
3.9,10,100,110166
3.9,10,200,18061
3.9,10,300,55633
3.3,50,200,62862
4.0,100,200,81227
3.9,10,299,108867
4.2,100,599,47867
3.9,10,300,94307
3.9,10,200,45183
3.9,10,100,66175
3.9,10,250,54519
3.8,20,150,35237
3.9,10,100,8543
3.2,20,199,94916
3.9,10,400,7029
3.9,10,200,100605
3.9,10,200,58802
3.9,10,200,420
3.9,10,200,79259
4.2,100,150,10238
3.9,10,200,13565
3.9,10,200,39989
3.9,10,100,29331
3.9,10,200,33978
3.9,10,150,51144
3.9,10,200,102782
3.9,10,200,13406
4.6,50,200,106114
3.9,500,350,34233
3.0,20,200,101122
3.9,10,200,103430
3.9,10,300,17031
3.9,10,200,99579
3.9,10,150,23646
3.9,10,199,6204
4.5,100,199,28751
4.2,1000,399,42246
3.6,20,100,8769
4.1,100,199,58407
3.5,20,200,70727
4.2,50,199,67078
3.8,50,400,108001
3.9,10,299,101172
3.9,10,200,2374
3.8,20,200,48225
3.1,20,150,25876
3.9,10,200,54493
4.5,20,399,99732
3.8,20,150,50570
4.6,50,100,71348
3.9,10,299,6301
3.9,10,200,103293
3.9,10,150,8630
3.9,10,150,67997
3.9,10,100,10058
3.9,100,300,73373
3.9,10,399,761
3.9,10,300,105137
3.9,10,200,51117
3.6,20,200,101582
4.4,20,150,6118
3.9,10,300,16846
3.9,10,350,110764
3.9,20,250,787
3.5,20,200,70358
4.1,20,200,100004
3.9,10,100,31290
4.1,100,100,68780
3.9,20,200,61454
3.9,10,200,11025
3.9,10,100,61460
3.9,10,200,80175
3.9,10,149,85606
3.9,10,300,11060
3.9,10,100,53639
3.9,10,399,37108
4.2,50,299,62379
3.9,10,200,56303
3.9,10,120,62920
4.1,50,150,6760
3.9,10,150,24491
3.9,10,200,34846
4.4,100,150,89544
4.1,100,399,49210
4.0,20,290,36907
4.2,100,300,99220
3.9,10,400,110048
4.0,1000,400,75777
3.9,10,300,39204
3.9,10,100,71346
3.9,100,200,20670
4.0,100,200,102813
3.9,20,200,80436
3.9,10,300,40886
3.9,10,200,79110
3.9,10,100,74933
3.9,20,200,82260
3.9,10,400,99102
3.9,20,400,81761
4.0,50,599,105753
3.9,10,200,45684
3.9,10,200,69808
3.9,10,400,11485
3.9,10,150,71531
3.9,10,150,92134
3.9,10,200,25553
3.9,10,150,86236
3.8,20,100,36349
3.9,10,200,96539
3.9,10,150,102974
3.9,20,199,32820
4.0,50,200,65186
4.0,100,300,100224
3.5,20,200,27044
3.9,10,100,11187
3.9,10,250,108083
3.9,10,200,108200
4.0,20,300,38699
4.3,100,200,44390
3.6,50,50,75630
3.9,10,100,9746
3.6,20,200,51197
3.9,10,200,26642
3.9,10,200,104928
3.9,10,200,95427
3.9,10,200,30443
3.9,10,200,72601
3.9,20,200,8755
3.9,10,250,105656
3.9,10,300,15222
4.4,100,150,31354
3.9,10,200,57720
4.2,50,150,5368
3.9,10,200,95402
3.9,10,200,70763
3.9,10,100,71347
3.9,10,300,31139
3.9,10,200,13698
3.9,10,250,51052
3.9,10,100,25460
4.4,100,299,6600
3.9,50,250,99023
3.9,10,149,31018
3.9,10,200,91764
3.9,10,100,12072
3.9,10,200,36910
3.9,10,200,2410
3.8,50,200,49514
3.8,50,150,54658
4.1,100,250,26929
3.8,50,250,80935
3.5,50,150,88087
4.0,100,150,7533
4.4,100,199,73708
3.6,100,299,33882
3.3,50,150,20376
3.6,100,250,26930
3.5,10,199,22462
3.5,100,150,61972
3.5,10,200,77778
2.7,20,199,77124
3.5,10,199,91758
3.4,50,199,36142
3.9,20,200,91757
3.5,100,250,83640
3.5,10,200,103773
3.5,10,120,27318
3.5,10,250,55840
3.0,20,200,58554
3.3,50,250,53279
3.6,20,250,69680
3.3,100,250,13771
3.5,10,250,111235
3.5,10,250,110374
2.8,50,250,60772
2.8,20,250,65934
3.5,10,250,7084
3.5,10,250,51956
3.4,20,150,42568
3.5,10,199,97329
3.5,10,100,83068
